movie_id,Year,Actor,Film,Winner
,1928,Emil Jannings,The Last Command,True
,1928,Richard Barthelmess,The Noose,False
,1928,Richard Barthelmess,Patent Leather Kid,False
,1928,Charlie Chaplin,The Circus,False
tt0020018,1929,Warner Baxter,In Old Arizona,True
,1929,George Bancroft,Thunderbolt,False
tt0019630,1929,Chester Morris,Alibi,False
,1929,Paul Muni,The Valiant,False
tt0019257,1929,Lewis Stone,The Patriot,False
tt0019823,1930,George Arliss,Disraeli,True
tt0020686,1930,Wallace Beery,The Big House,False
,1930,Maurice Chevalier,The Big Pond,False
,1930,Ronald Colman,Bulldog Drummond,False
,1930,Ronald Colman,Michel,False
,1930,Lawrence Tibbett,The Rogue Song,False
,1931,Lionel Barrymore,A Free Soul,True
tt0022397,1931,Jackie Cooper,Skippy,False
tt0021746,1931,Richard Dix,Cimarron,False
,1931,Fredric March,The Royal Family of Broadway,False
tt0021890,1931,Adolphe Menjou,The Front Page,False
tt0021730,1932,Wallace Beery,The Champ,True
,1932,Fredric March,Dr. Jekyll and Mr. Hyde,True
,1932,Alfred Lunt,The Guardsman,False
,1932,Charles Laughton,The Private Life of Henry VIII,True
,1932,Leslie Howard,Berkeley Square,False
,1932,Paul Muni,I Am a Fugitive from a Chain Gang,False
tt0025316,1934,Clark Gable,It Happened One Night,True
,1934,Frank Morgan,The Affairs of Cellini,False
,1934,William Powell,The Thin Man,False
tt0026529,1935,Victor McLaglen,The Informer,True
tt0026752,1935,Clark Gable,Mutiny on the Bounty,False
,1935,Paul Muni,Black Fury,False
tt0026752,1935,Franchot Tone,Mutiny on the Bounty,False
tt0028313,1936,Paul Muni,The Story of Louis Pasteur,True
,1936,Gary Cooper,Mr. Deeds Goes to Town,False
tt0027532,1936,Walter Huston,Dodsworth,False
,1936,William Powell,My Man Godfrey,False
tt0028216,1936,Spencer Tracy,San Francisco,False
tt0028691,1937,Spencer Tracy,Captains Courageous,True
,1937,Charles Boyer,Conquest,False
tt0029606,1937,Fredric March,A Star Is Born,False
,1937,Robert Montgomery,Night Must Fall,False
tt0029146,1937,Paul Muni,The Life of Emile Zola,False
tt0029942,1938,Spencer Tracy,Boys Town,True
,1938,Charles Boyer,Algiers,False
,1938,James Cagney,Angels with Dirty Faces,False
tt0029995,1938,Robert Donat,The Citadel,False
tt0030637,1938,Leslie Howard,Pygmalion,False
tt0031385,1939,Robert Donat,"Goodbye, Mr. Chips",True
tt0031381,1939,Clark Gable,Gone with the Wind,False
tt0032145,1939,Laurence Olivier,Wuthering Heights,False
,1939,Mickey Rooney,Babes in Arms,False
tt0031679,1939,James Stewart,Mr. Smith Goes to Washington,False
tt0032904,1940,James Stewart,The Philadelphia Story,True
tt0032553,1940,Charlie Chaplin,The Great Dictator,False
tt0032551,1940,Henry Fonda,The Grapes of Wrath,False
,1940,Raymond Massey,Abe Lincoln in Illinois,False
tt0032976,1940,Laurence Olivier,Rebecca,False
tt0034167,1941,Gary Cooper,Sergeant York,True
,1941,Cary Grant,Penny Serenade,False
,1941,Walter Huston,The Devil and Daniel Webster,False
tt0033712,1941,Robert Montgomery,Here Comes Mr. Jordan,False
tt0033467,1941,Orson Welles,Citizen Kane,False
tt0035575,1942,James Cagney,Yankee Doodle Dandy,True
tt0035238,1942,Ronald Colman,Random Harvest,False
tt0035211,1942,Gary Cooper,The Pride of the Yankees,False
tt0035093,1942,Walter Pidgeon,Mrs. Miniver,False
tt0035189,1942,Monty Woolley,The Pied Piper,False
tt0036515,1943,Paul Lukas,Watch on the Rhine,True
,1943,Humphrey Bogart,Casablanca,False
tt0035896,1943,Gary Cooper,For Whom the Bell Tolls,False
tt0036126,1943,Walter Pidgeon,Madame Curie,False
tt0036022,1943,Mickey Rooney,The Human Comedy,False
tt0036872,1944,Bing Crosby,Going My Way,True
tt0036855,1944,Charles Boyer,Gaslight,False
tt0036872,1944,Barry Fitzgerald,Going My Way,False
,1944,Cary Grant,None but the Lonely Heart,False
tt0037465,1944,Alexander Knox,Wilson,False
tt0037884,1945,Ray Milland,The Lost Weekend,True
tt0037536,1945,Bing Crosby,The Bells of St. Mary's,False
tt0037514,1945,Gene Kelly,Anchors Aweigh,False
,1945,Gregory Peck,The Keys of the Kingdom,False
,1945,Cornel Wilde,A Song to Remember,False
tt0036868,1946,Fredric March,The Best Years of Our Lives,True
,1946,Laurence Olivier,Henry V,False
,1946,Larry Parks,The Jolson Story,False
tt0039111,1946,Gregory Peck,The Yearling,False
tt0038650,1946,James Stewart,It's a Wonderful Life,False
,1947,Ronald Colman,A Double Life,True
,1947,John Garfield,Body and Soul,False
tt0039416,1947,Gregory Peck,Gentleman's Agreement,False
,1947,William Powell,Life with Father,False
,1947,Michael Redgrave,Mourning Becomes Electra,False
tt0040416,1948,Laurence Olivier,Hamlet,True
tt0040495,1948,Lew Ayres,Johnny Belinda,False
,1948,Montgomery Clift,The Search,False
,1948,Dan Dailey,When My Baby Smiles at Me,False
,1948,Clifton Webb,Sitting Pretty,False
tt0041113,1949,Broderick Crawford,All the King's Men,True
,1949,Kirk Douglas,Champion,False
tt0041996,1949,Gregory Peck,Twelve O'Clock High,False
,1949,Richard Todd,The Hasty Heart,False
,1949,John Wayne,Sands of Iwo Jima,False
,1950,Jose Ferrer,Cyrano de Bergerac,True
,1950,Louis Calhern,The Magnificent Yankee,False
tt0043014,1950,William Holden,Sunset Boulevard,False
,1950,James Stewart,Harvey,False
tt0042451,1950,Spencer Tracy,Father of the Bride,False
,1951,Humphrey Bogart,The African Queen,True
tt0044081,1951,Marlon Brando,A Streetcar Named Desire,False
tt0043924,1951,Montgomery Clift,A Place in the Sun,False
,1951,Arthur Kennedy,Bright Victory,False
,1951,Fredric March,Death of a Salesman,False
tt0044706,1952,Gary Cooper,High Noon,True
,1952,Marlon Brando,Viva Zapata!,False
,1952,Kirk Douglas,The Bad and the Beautiful,False
tt0044926,1952,Jose Ferrer,Moulin Rouge,False
,1952,Alec Guinness,The Lavender Hill Mob,False
,1953,William Holden,Stalag 17,True
tt0045943,1953,Marlon Brando,Julius Caesar,False
tt0046247,1953,Richard Burton,The Robe,False
tt0045793,1953,Montgomery Clift,From Here to Eternity,False
tt0047296,1954,Marlon Brando,On the Waterfront,True
tt0046816,1954,Humphrey Bogart,The Caine Mutiny,False
tt0046874,1954,Bing Crosby,The Country Girl,False
,1954,James Mason,A Star Is Born,False
,1954,Dan O'Herlihy,Robinson Crusoe,False
tt0048356,1955,Ernest Borgnine,Marty,True
,1955,James Cagney,Love Me or Leave Me,False
,1955,James Dean,East of Eden,False
,1955,Frank Sinatra,The Man with the Golden Arm,False
,1955,Spencer Tracy,Bad Day at Black Rock,False
tt0049408,1956,Yul Brynner,The King and I,True
tt0049261,1956,James Dean,Giant,False
,1956,Kirk Douglas,Lust for Life,False
tt0049261,1956,Rock Hudson,Giant,False
,1956,Laurence Olivier,Richard III,False
tt0050212,1957,Alec Guinness,The Bridge on the River Kwai,True
tt0050933,1957,Marlon Brando,Sayonara,False
