movie_id,Year,Actress,Film,Winner
tt0018379,1928,Janet Gaynor,7th Heaven,True
,1928,Louise Dresser,A Ship Comes In,False
,1928,Gloria Swanson,Sadie Thompson,False
,1929,Mary Pickford,Coquette,True
,1929,Ruth Chatterton,Madame X,False
,1929,Betty Compson,The Barker,False
,1929,Jeanne Eagels,The Letter,False
,1929,Corinne Griffith,The Divine Lady,False
tt0019729,1929,Bessie Love,The Broadway Melody,False
tt0020827,1930,Norma Shearer,The Divorcee,True
,1930,Nancy Carroll,The Devil's Holiday,False
,1930,Ruth Chatterton,Sarah and Son,False
,1930,Greta Garbo,Anna Christie,False
,1930,Gloria Swanson,The Trespasser,False
,1931,Marie Dressler,Min and Bill,True
,1931,Marlene Dietrich,Morocco,False
tt0021746,1931,Irene Dunne,Cimarron,False
,1931,Ann Harding,Holiday,False
,1931,Norma Shearer,A Free Soul,False
,1932,Helen Hayes,The Sin of Madelon Claudet,True
,1932,Marie Dressler,Emma,False
,1932,Lynn Fontanne,The Guardsman,False
,1933,Katharine Hepburn,Morning Glory,True
,1933,May Robson,Lady for a Day,False
tt0023876,1933,Diana Wynyard,Cavalcade,False
tt0025316,1934,Claudette Colbert,It Happened One Night,True
,1934,Bette Davis(Write-in),Of Human Bondage,False
tt0025601,1934,Grace Moore,One Night of Love,False
,1934,Norma Shearer,The Barretts of Wimpole Street,False
,1935,Bette Davis,Dangerous,True
,1935,Elisabeth Bergner,Escape Me Never,False
,1935,Claudette Colbert,Private Worlds,False
tt0026056,1935,Katharine Hepburn,Alice Adams,False
,1935,Miriam Hopkins,Becky Sharp,False
,1935,Merle Oberon,The Dark Angel,False
tt0027698,1936,Luise Rainer,The Great Ziegfeld,True
,1936,Irene Dunne,Theodora Goes Wild,False
,1936,Gladys George,Valiant Is the Word for Carrie,False
,1936,Carole Lombard,My Man Godfrey,False
tt0028203,1936,Norma Shearer,Romeo and Juliet,False
tt0028944,1937,Luise Rainer,The Good Earth,True
tt0028597,1937,Irene Dunne,The Awful Truth,False
,1937,Greta Garbo,Camille,False
tt0029606,1937,Janet Gaynor,A Star Is Born,False
,1937,Barbara Stanwyck,Stella Dallas,False
tt0030287,1938,Bette Davis,Jezebel,True
,1938,Fay Bainter,White Banners,False
tt0030637,1938,Wendy Hiller,Pygmalion,False
,1938,Norma Shearer,Marie Antoinette,False
,1938,Margaret Sullavan,Three Comrades,False
tt0031381,1939,Vivien Leigh,Gone with the Wind,True
tt0031210,1939,Bette Davis,Dark Victory,False
tt0031593,1939,Irene Dunne,Love Affair,False
tt0031725,1939,Greta Garbo,Ninotchka,False
tt0031385,1939,Greer Garson,"Goodbye, Mr. Chips",False
tt0032671,1940,Ginger Rogers,Kitty Foyle,True
tt0032701,1940,Bette Davis,The Letter,False
tt0032976,1940,Joan Fontaine,Rebecca,False
tt0032904,1940,Katharine Hepburn,The Philadelphia Story,False
tt0032881,1940,Martha Scott,Our Town,False
tt0034248,1941,Joan Fontaine,Suspicion,True
tt0033836,1941,Bette Davis,The Little Foxes,False
tt0033722,1941,Olivia de Havilland,Hold Back the Dawn,False
tt0033407,1941,Greer Garson,Blossoms in the Dust,False
,1941,Barbara Stanwyck,Ball of Fire,False
tt0035093,1942,Greer Garson,Mrs. Miniver,True
,1942,Bette Davis,"Now, Voyager",False
,1942,Katharine Hepburn,Woman of the Year,False
,1942,Rosalind Russell,My Sister Eileen,False
tt0035211,1942,Teresa Wright,The Pride of the Yankees,False
tt0036377,1943,Jennifer Jones,The Song of Bernadette,True
tt0036172,1943,Jean Arthur,The More the Merrier,False
tt0035896,1943,Ingrid Bergman,For Whom the Bell Tolls,False
