movie_id,Year,Director,Film,Winner
tt0018379,1928,Frank Borzage,7th Heaven,True
,1928,Herbert Brenon,Sorrell and Son,False
,1928,King Vidor,The Crowd,False
,1928,Lewis Milestone,Two Arabian Knights,True
,1928,Ted Wilde,Speedy,False
,1928,Charlie Chaplin,The Circus,False
,1929,Frank Lloyd,The Divine Lady,True
,1929,Lionel Barrymore,Madame X,False
tt0019729,1929,Harry Beaumont,The Broadway Melody,False
tt0020018,1929,Irving Cummings,In Old Arizona,False
,1929,Frank Lloyd,Drag,False
tt0019257,1929,Ernst Lubitsch,The Patriot,False
tt0020629,1930,Lewis Milestone,All Quiet on the Western Front,True
,1930,Clarence Brown,Anna Christie,False
tt0020827,1930,Robert Z. Leonard,The Divorcee,False
tt0020112,1930,Ernst Lubitsch,The Love Parade,False
,1930,King Vidor,Hallelujah!,False
tt0022397,1931,Norman Taurog,Skippy,True
,1931,Clarence Brown,A Free Soul,False
tt0021890,1931,Lewis Milestone,The Front Page,False
tt0021746,1931,Wesley Ruggles,Cimarron,False
,1931,Josef von Sternberg,Morocco,False
tt0021635,1932,Frank Borzage,Bad Girl,True
tt0021730,1932,King Vidor,The Champ,False
tt0023458,1932,Josef von Sternberg,Shanghai Express,False
tt0023876,1933,Frank Lloyd,Cavalcade,True
,1933,Frank Capra,Lady for a Day,False
tt0024264,1933,George Cukor,Little Women,False
tt0025316,1934,Frank Capra,It Happened One Night,True
tt0025601,1934,Victor Schertzinger,One Night of Love,False
,1934,W. S. Van Dyke,The Thin Man,False
tt0026529,1935,John Ford,The Informer,True
tt0026643,1935,Henry Hathaway,The Lives of a Bengal Lancer,False
tt0026752,1935,Frank Lloyd,Mutiny on the Bounty,False
tt0026174,1935,Michael Curtiz,Captain Blood,False
,1936,Frank Capra,Mr. Deeds Goes to Town,True
,1936,Gregory La Cava,My Man Godfrey,False
tt0027698,1936,Robert Z. Leonard,The Great Ziegfeld,False
tt0028216,1936,W. S. Van Dyke,San Francisco,False
tt0027532,1936,William Wyler,Dodsworth,False
tt0028597,1937,Leo McCarey,The Awful Truth,True
tt0029146,1937,William Dieterle,The Life of Emile Zola,False
tt0028944,1937,Sidney Franklin,The Good Earth,False
tt0029604,1937,Gregory La Cava,Stage Door,False
tt0029606,1937,William A. Wellman,A Star Is Born,False
,1938,Frank Capra,You Can't Take It with You,True
,1938,Michael Curtiz,Angels with Dirty Faces,False
tt0029942,1938,Norman Taurog,Boys Town,False
tt0029995,1938,King Vidor,The Citadel,False
tt0031381,1939,Victor Fleming,Gone with the Wind,True
tt0031679,1939,Frank Capra,Mr. Smith Goes to Washington,False
tt0031971,1939,John Ford,Stagecoach,False
tt0031385,1939,Sam Wood,"Goodbye, Mr. Chips",False
tt0032145,1939,William Wyler,Wuthering Heights,False
tt0032551,1940,John Ford,The Grapes of Wrath,True
tt0032904,1940,George Cukor,The Philadelphia Story,False
tt0032976,1940,Alfred Hitchcock,Rebecca,False
tt0032671,1940,Sam Wood,Kitty Foyle,False
tt0032701,1940,William Wyler,The Letter,False
tt0033729,1941,John Ford,How Green Was My Valley,True
tt0033712,1941,Alexander Hall,Here Comes Mr. Jordan,False
tt0034167,1941,Howard Hawks,Sergeant York,False
tt0033467,1941,Orson Welles,Citizen Kane,False
tt0033836,1941,William Wyler,The Little Foxes,False
tt0035093,1942,William Wyler,Mrs. Miniver,True
tt0035575,1942,Michael Curtiz,Yankee Doodle Dandy,False
tt0035530,1942,John Farrow,Wake Island,False
tt0035238,1942,Mervyn LeRoy,Random Harvest,False
tt0034946,1942,Sam Wood,Kings Row,False
,1943,Michael Curtiz,Casablanca,True
tt0036022,1943,Clarence Brown,The Human Comedy,False
tt0036377,1943,Henry King,The Song of Bernadette,False
tt0035979,1943,Ernst Lubitsch,Heaven Can Wait,False
tt0036172,1943,George Stevens,The More the Merrier,False
tt0036872,1944,Leo McCarey,Going My Way,True
,1944,Alfred Hitchcock,Lifeboat,False
tt0037465,1944,Henry King,Wilson,False
,1944,Otto Preminger,Laura,False
tt0036775,1944,Billy Wilder,Double Indemnity,False
tt0037884,1945,Billy Wilder,The Lost Weekend,True
,1945,Clarence Brown,National Velvet,False
tt0038109,1945,Alfred Hitchcock,Spellbound,False
tt0037536,1945,Leo McCarey,The Bells of St. Mary's,False
,1945,Jean Renoir,The Southerner,False
tt0036868,1946,William Wyler,The Best Years of Our Lives,True
tt0039111,1946,Clarence Brown,The Yearling,False
tt0038650,1946,Frank Capra,It's a Wonderful Life,False
,1946,David Lean,Brief Encounter,False
,1946,Robert Siodmak,The Killers,False
tt0039416,1947,Elia Kazan,Gentleman's Agreement,True
,1947,George Cukor,A Double Life,False
tt0039286,1947,Edward Dmytryk,Crossfire,False
tt0039190,1947,Henry Koster,The Bishop's Wife,False
,1947,David Lean,Great Expectations,False
tt0040897,1948,John Huston,The Treasure of the Sierra Madre,True
tt0040806,1948,Anatole Litvak,The Snake Pit,False
tt0040495,1948,Jean Negulesco,Johnny Belinda,False
tt0040416,1948,Laurence Olivier,Hamlet,False
,1948,Fred Zinnemann,The Search,False
tt0041587,1949,Joseph L. Mankiewicz,A Letter to Three Wives,True
,1949,Carol Reed,The Fallen Idol,False
tt0041113,1949,Robert Rossen,All the King's Men,False
tt0041163,1949,William A. Wellman,Battleground,False
tt0041452,1949,William Wyler,The Heiress,False
tt0042192,1950,Joseph L. Mankiewicz,All About Eve,True
tt0042276,1950,George Cukor,Born Yesterday,False
,1950,John Huston,The Asphalt Jungle,False
,1950,Carol Reed,The Third Man,False
tt0043014,1950,Billy Wilder,Sunset Boulevard,False
tt0043924,1951,George Stevens,A Place in the Sun,True
,1951,John Huston,The African Queen,False
tt0044081,1951,Elia Kazan,A Streetcar Named Desire,False
tt0043278,1951,Vincente Minnelli,An American in Paris,False
,1951,William Wyler,Detective Story,False
tt0045061,1952,John Ford,The Quiet Man,True
tt0044672,1952,Cecil B. DeMille,The Greatest Show on Earth,False
tt0044926,1952,John Huston,Moulin Rouge,False
,1952,Joseph L. Mankiewicz,5 Fingers,False
tt0044706,1952,Fred Zinnemann,High Noon,False
tt0045793,1953,Fred Zinnemann,From Here to Eternity,True
tt0046303,1953,George Stevens,Shane,False
,1953,Charles Walters,Lili,False
,1953,Billy Wilder,Stalag 17,False
tt0046250,1953,William Wyler,Roman Holiday,False
tt0047296,1954,Elia Kazan,On the Waterfront,True
,1954,Alfred Hitchcock,Rear Window,False
tt0046874,1954,George Seaton,The Country Girl,False
,1954,William A. Wellman,The High and the Mighty,False
,1954,Billy Wilder,Sabrina,False
tt0048356,1955,Delbert Mann,Marty,True
,1955,Elia Kazan,East of Eden,False
,1955,David Lean,Summertime,False
tt0048491,1955,Joshua Logan,Picnic,False
,1955,John Sturges,Bad Day at Black Rock,False
tt0049261,1956,George Stevens,Giant,True
tt0048960,1956,Michael Anderson,Around the World in 80 Days,False
tt0049408,1956,Walter Lang,The King and I,False
,1956,King Vidor,War and Peace,False
tt0049233,1956,William Wyler,Friendly Persuasion,False
tt0050212,1957,David Lean,The Bridge on the River Kwai,True
tt0050933,1957,Joshua Logan,Sayonara,False
tt0050083,1957,Sidney Lumet,12 Angry Men,False
tt0050839,1957,Mark Robson,Peyton Place,False
tt0051201,1957,Billy Wilder,Witness for the Prosecution,False
tt0051658,1958,Vincente Minnelli,Gigi,True
tt0051459,1958,Richard Brooks,Cat on a Hot Tin Roof,False
tt0051525,1958,Stanley Kramer,The Defiant Ones,False
,1958,Mark Robson,The Inn of the Sixth Happiness,False
,1958,Robert Wise,I Want to Live!,False
tt0052618,1959,William Wyler,Ben-Hur,True
,1959,Jack Clayton,Room at the Top,False
tt0052738,1959,George Stevens,The Diary of Anne Frank,False
