Year,Film,Winner
1928,Wings,True
1928,7th Heaven,False
1928,The Racket,False
1929,The Broadway Melody,True
1929,Alibi,False
1929,The Hollywood Revue,False
1929,In Old Arizona,False
1929,The Patriot,False
1930,All Quiet on the Western Front,True
1930,The Big House,False
1930,Disraeli,False
1930,The Divorcee,False
1930,The Love Parade,False
1931,Cimarron,True
1931,East Lynne,False
1931,The Front Page,False
1931,Skippy,False
1931,Trader Horn,False
1932,Grand Hotel,True
1932,Arrowsmith,False
1932,Bad Girl,False
1932,The Champ,False
1932,Five Star Final,False
1932,One Hour with You,False
1932,Shanghai Express,False
1932,The Smiling Lieutenant,False
1933,Cavalcade,True
1933,42nd Street,False
1933,A Farewell to Arms,False
1933,I Am a Fugitive from a Chain Gang,False
1933,Lady for a Day,False
1933,Little Women,False
1933,The Private Life of Henry VIII,False
1933,She Done Him Wrong,False
1933,Smilin' Through,False
1933,State Fair,False
1934,It Happened One Night,True
1934,The Barretts of Wimpole Street,False
1934,Cleopatra,False
1934,Flirtation Walk,False
1934,The Gay Divorcee,False
1934,Here Comes the Navy,False
1934,The House of Rothschild,False
1934,Imitation of Life,False
1934,One Night of Love,False
1934,The Thin Man,False
1934,Viva Villa!,False
1934,The White Parade,False
1935,Mutiny on the Bounty,True
1935,Alice Adams,False
1935,Broadway Melody of 1936,False
1935,Captain Blood,False
1935,David Copperfield,False
1935,The Informer,False
1935,The Lives of a Bengal Lancer,False
1935,A Midsummer Night's Dream,False
1935,Les Misérables,False
1935,Naughty Marietta,False
1935,Ruggles of Red Gap,False
1935,Top Hat,False
1936,The Great Ziegfeld,True
1936,Anthony Adverse,False
1936,Dodsworth,False
1936,Libeled Lady,False
1936,Mr. Deeds Goes to Town,False
1936,Romeo and Juliet,False
1936,San Francisco,False
1936,The Story of Louis Pasteur,False
1936,A Tale of Two Cities,False
1936,Three Smart Girls,False
1937,The Life of Emile Zola,True
1937,The Awful Truth,False
1937,Captains Courageous,False
1937,Dead End,False
1937,The Good Earth,False
1937,In Old Chicago,False
1937,Lost Horizon,False
1937,One Hundred Men and a Girl,False
1937,Stage Door,False
1937,A Star Is Born,False
1938,You Can't Take It with You,True
1938,The Adventures of Robin Hood,False
1938,Alexander's Ragtime Band,False
1938,Boys Town,False
1938,The Citadel,False
1938,Four Daughters,False
1938,Grand Illusion,False
1938,Jezebel,False
1938,Pygmalion,False
1938,Test Pilot,False
1939,Gone with the Wind,True
1939,Dark Victory,False
